frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
10,player,5,player,home,1.0,0.77543,1013,222,1047,295,1030.0,295.0,7071.9858,1115.9922,209.6583,46.6826,6,4,0.41511,0.45598,0.59392
10,player,6,player,away,1.0,0.81639,269,298,308,384,288.5,384.0,5621.897,1718.5269,169.5391,64.3283,6,4,0.45176,0.39211,0.41555
10,player,7,player,home,1.0,0.84689,1165,246,1197,332,1181.0,332.0,7314.2432,1684.9108,216.3607,63.3438,6,4,0.37963,0.40822,0.63244
10,player,8,player,home,1.0,0.82191,570,242,604,316,587.0,316.0,6224.8574,1044.8485,186.2211,44.5991,6,4,0.38161,0.42821,0.60738
10,player,9,player,home,0.8356,0.80045,1066,201,1093,262,1079.5,262.0,7181.5127,725.5596,212.6885,35.2485,6,4,0.43391,0.40785,0.55039
10,player,10,player,home,0.6286,0.76303,433,236,464,312,448.5,312.0,5944.4033,876.3553,178.4618,39.6647,6,4,0.48982,0.46723,0.53439
11,player,1,player,home,1.0,0.82969,626,431,675,538,650.5,538.0,6310.2563,3731.5991,188.5838,123.2825,6,4,0.39649,0.43418,0.62594
11,player,2,player,away,1.0,0.84624,1162,415,1208,532,1185.0,532.0,7197.8271,3881.96,213.1399,127.686,6,4,0.48387,0.40148,0.44031
11,player,3,player,home,1.0,0.78387,829,205,866,263,847.5,263.0,6748.4448,543.8682,200.707,29.9276,6,4,0.32419,0.36673,0.56218
11,player,4,player,away,0.9379,0.79775,1085,258,1117,335,1101.0,335.0,7174.1836,1667.4796,212.4857,62.8333,6,4,0.39892,0.36776,0.37133
11,player,5,player,home,1.0,0.75973,1011,221,1045,294,1028.0,294.0,7068.9473,1101.6161,209.5742,46.2616,6,4,0.43444,0.47305,0.60856
11,player,6,player,away,1.0,0.82125,267,299,306,385,286.5,385.0,5617.9648,1730.1522,169.4304,64.6687,6,4,0.42678,0.36898,0.40477
11,player,7,player,home,1.0,0.84654,1161,246,1195,332,1178.0,332.0,7309.1055,1682.9015,216.2186,63.285,6,4,0.37823,0.40566,0.63297
11,player,8,player,home,1.0,0.82265,567,242,602,316,584.5,316.0,6219.8823,1042.8361,186.0834,44.5402,6,4,0.38493,0.4299,0.61725
11,player,9,player,home,0.8356,0.80512,1063,201,1091,262,1077.0,262.0,7176.9795,723.5128,212.5631,35.1886,6,4,0.43321,0.41364,0.54015
11,player,10,player,home,0.6286,0.75241,431,236,462,312,446.5,312.0,5940.2729,874.6707,178.3476,39.6154,6,4,0.46787,0.44706,0.50086
12,player,1,player,home,1.0,0.8384,624,430,673,538,648.5,538.0,6306.752,3730.7668,188.4868,123.2582,6,4,0.39508,0.4339,0.62389
12,player,2,player,away,1.0,0.85271,1161,415,1207,532,1184.0,532.0,7196.2607,3881.5818,213.0965,127.6749,6,4,0.48352,0.41072,0.44181
12,player,3,player,home,1.0,0.7832,830,205,867,264,848.5,264.0,6749.9414,558.3906,200.7484,30.3529,6,4,0.33518,0.37894,0.57193
12,player,4,player,away,0.9379,0.79167,1082,258,1114,336,1098.0,336.0,7168.3506,1677.639,212.3244,63.1309,6,4,0.39969,0.37024,0.37021
12,player,5,player,home,1.0,0.75973,1009,221,1042,294,1025.5,294.0,7064.4287,1099.7034,209.4492,46.2056,6,4,0.42819,0.47249,0.59935
12,player,6,player,away,1.0,0.81508,264,299,303,384,283.5,384.0,5611.5679,1714.9209,169.2534,64.2227,6,4,0.4205,0.36256,0.39911
12,player,7,player,home,1.0,0.83513,1159,246,1193,332,1176.0,332.0,7305.6782,1681.5612,216.1238,63.2457,6,4,0.38115,0.41203,0.62859
12,player,8,player,home,1.0,0.82368,565,243,599,316,582.0,316.0,6214.9043,1040.8224,185.9457,44.4812,6,4,0.3808,0.42729,0.61284
12,player,9,player,home,0.8356,0.79706,1062,201,1090,262,1076.0,262.0,7175.1655,722.6937,212.5129,35.1646,6,4,0.43539,0.41463,0.55064
12,player,10,player,home,0.6286,0.76368,428,236,459,312,443.5,312.0,5934.0737,872.1422,178.176,39.5413,6,4,0.45201,0.42519,0.48174
13,player,1,player,home,1.0,0.83578,622,430,671,538,646.5,538.0,6303.2461,3729.9343,188.3898,123.2338,6,4,0.39316,0.43154,0.62255
13,player,2,player,away,1.0,0.83977,1160,415,1206,532,1183.0,532.0,7194.6943,3881.2034,213.0532,127.6638,6,4,0.4816,0.40417,0.43809
13,player,3,player,home,1.0,0.77491,830,205,867,264,848.5,264.0,6749.9414,558.3906,200.7484,30.3529,6,4,0.3512,0.39489,0.60019
13,player,4,player,away,0.9379,0.78916,1079,258,1111,336,1095.0,336.0,7163.1235,1675.6119,212.1798,63.0715,6,4,0.41663,0.38473,0.39618
13,player,5,player,home,1.0,0.76545,1006,219,1040,294,1023.0,294.0,7059.9082,1097.7896,209.3241,46.1496,6,4,0.44734,0.48023,0.63888
13,player,6,player,away,1.0,0.80695,261,300,300,384,280.5,384.0,5605.3647,1712.7552,169.0818,64.1593,6,4,0.4283,0.37643,0.40365
13,player,7,player,home,1.0,0.82344,1156,247,1191,332,1173.5,332.0,7301.3921,1679.8849,216.0052,63.1966,6,4,0.37539,0.4127,0.6342
13,player,8,player,home,1.0,0.81139,562,243,596,315,579.0,315.0,6209.0522,1024.9398,185.7838,44.0161,6,4,0.38236,0.42818,0.61175
13,player,9,player,home,0.8356,0.77427,1060,203,1087,262,1073.5,262.0,7170.6289,720.6451,212.3874,35.1046,6,4,0.42868,0.40533,0.53641
13,player,10,player,home,0.6286,0.75297,426,236,456,312,441.0,312.0,5928.9043,870.0335,178.033,39.4796,6,4,0.46638,0.44779,0.49844
14,player,1,player,home,1.0,0.8371,620,430,669,538,644.5,538.0,6299.7383,3729.1013,188.2928,123.2094,6,4,0.38841,0.42893,0.62342
14,player,2,player,away,1.0,0.84838,1158,415,1205,531,1181.5,531.0,7192.9014,3870.6628,213.0036,127.3551,6,4,0.47384,0.39336,0.42751
14,player,3,player,home,1.0,0.79596,831,206,866,264,848.5,264.0,6749.9414,558.3906,200.7484,30.3529,6,4,0.35658,0.39717,0.5961
14,player,4,player,away,0.9379,0.78177,1076,258,1108,336,1092.0,336.0,7157.8921,1673.5834,212.035,63.0121,6,4,0.42042,0.37887,0.41665
14,player,5,player,home,1.0,0.7788,1003,217,1038,294,1020.5,294.0,7055.3843,1095.8746,209.199,46.0935,6,4,0.46338,0.49427,0.6454
14,player,6,player,away,1.0,0.81894,258,300,298,385,278.0,385.0,5600.3994,1724.0336,168.9444,64.4896,6,4,0.40232,0.34042,0.37415
14,player,7,player,home,1.0,0.83436,1154,247,1188,332,1171.0,332.0,7297.104,1678.2076,215.8865,63.1475,6,4,0.37046,0.41019,0.62978
14,player,8,player,home,1.0,0.82398,558,243,593,316,575.5,316.0,6201.9463,1035.5808,185.5872,44.3277,6,4,0.37597,0.4209,0.60798
14,player,9,player,home,0.8356,0.78494,1058,202,1086,261,1072.0,261.0,7168.5376,706.1974,212.3295,34.6815,6,4,0.43012,0.42037,0.54995
14,player,10,player,home,0.6286,0.75271,423,237,453,312,438.0,312.0,5922.6963,867.5014,177.8613,39.4054,6,4,0.47237,0.4477,0.51154
15,player,1,player,home,1.0,0.83783,618,429,667,537,642.5,537.0,6296.3833,3717.6565,188.1999,122.8742,6,4,0.38807,0.42865,0.62529
15,player,2,player,away,1.0,0.85113,1155,415,1203,530,1179.0,530.0,7189.5371,3859.7285,212.9105,127.0349,6,4,0.46761,0.38448,0.42362
15,player,3,player,home,1.0,0.79632,831,206,866,264,848.5,264.0,6749.9414,558.3906,200.7484,30.3529,6,4,0.36735,0.4074,0.59617
15,player,4,player,away,0.9379,0.80166,1074,259,1106,337,1090.0,337.0,7153.8037,1684.4222,211.9219,63.3295,6,4,0.42071,0.37378,0.40489
15,player,5,player,home,1.0,0.76,1000,219,1035,294,1017.5,294.0,7049.9526,1093.5751,209.0487,46.0261,6,4,0.43179,0.46423,0.61165
15,player,6,player,away,1.0,0.82957,256,301,296,385,276.0,385.0,5596.2607,1722.592,168.8299,64.4473,6,4,0.40971,0.34769,0.38478
15,player,7,player,home,1.0,0.82592,1151,247,1187,332,1169.0,332.0,7293.6714,1676.8652,215.7916,63.1082,6,4,0.37584,0.41499,0.61681
15,player,8,player,home,1.0,0.80804,556,243,591,316,573.5,316.0,6197.9551,1033.9664,185.4768,44.2804,6,4,0.37668,0.42205,0.60901
15,player,9,player,home,0.8356,0.77925,1056,201,1084,261,1070.0,261.0,7164.9033,704.553,212.229,34.6333,6,4,0.44491,0.43158,0.57575
15,player,10,player,home,0.6286,0.7393,420,236,451,312,435.5,312.0,5917.5195,865.3898,177.718,39.3436,6,4,0.46793,0.44632,0.50687
16,player,1,player,home,1.0,0.84107,616,428,665,537,640.5,537.0,6292.8706,3716.8201,188.1028,122.8497,6,4,0.38533,0.43042,0.62851
16,player,2,player,away,1.0,0.85775,1152,415,1201,530,1176.5,530.0,7185.6123,3858.7754,212.8019,127.007,6,4,0.46435,0.38977,0.42169
16,player,3,player,home,1.0,0.79622,831,205,868,265,849.5,265.0,6751.436,572.8934,200.7897,30.7776,6,4,0.35454,0.39516,0.57889
16,player,4,player,away,0.9379,0.79153,1071,259,1103,337,1087.0,337.0,7148.5688,1682.3966,211.7771,63.2702,6,4,0.39794,0.34751,0.37915
16,player,5,player,home,1.0,0.77043,998,222,1032,295,1015.0,295.0,7044.8623,1104.5336,208.9079,46.3471,6,4,0.4308,0.46664,0.60522
16,player,6,player,away,1.0,0.84326,253,300,294,386,273.5,386.0,5591.2979,1733.8682,168.6926,64.7776,6,4,0.4165,0.36405,0.39207
16,player,7,player,home,1.0,0.82183,1149,247,1184,332,1166.5,332.0,7289.3784,1675.1863,215.6728,63.059,6,4,0.37404,0.41002,0.628
