second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
29,29.0,6.0,8.36,1243.8343,1985.8714,1066.6506,1964.6099,1397.4981,1075.7582,2290.9637,743.749,2053.6652,2365.2313,4517277.0062,2256343.0934,248.9403,0.353189,250.79556,205.299946,504.421439,381.181976,237.953835,0.067343,-0.072237,,,0,0
30,30.0,6.0,9.12,1179.8245,2019.7171,1124.567,1794.0398,1405.5729,1234.0896,2116.2421,1092.2619,2287.032,2642.5324,4618590.1663,3540873.0377,233.0189,0.380212,238.307396,158.126534,495.721701,383.965023,235.010058,0.066382,-0.160846,,,0,0
31,31.0,6.16,8.16,1138.5908,2609.7299,1267.8807,2577.7775,1347.4921,998.6984,2039.6811,1156.4224,2358.2296,1877.1198,3959638.3801,2588679.7454,204.5126,0.425234,133.00127,114.708109,348.770116,206.389077,166.36187,0.054353,-0.807503,,,0,0
32,32.0,6.16,8.0,1079.5832,2633.0539,1214.1478,2545.3957,1714.1353,1326.077,2280.9298,1243.76,3138.8936,2849.393,6267578.8688,3811592.064,248.7415,0.467166,164.95443,137.471451,357.272432,198.804461,161.066299,0.047087,-0.779439,,,0,0
33,33.0,6.16,8.2,1171.4573,2543.7339,1129.2781,2191.5111,1931.2961,1600.4947,2263.105,1370.0868,3607.2462,3577.4237,7793280.1427,5208157.3409,405.5143,0.476279,160.296575,125.844967,356.915977,156.050785,146.569325,0.041293,-0.880206,,,0,0
34,34.0,7.12,8.36,1270.4519,2312.987,1113.571,2063.7171,2042.4536,1607.2011,2161.7809,1258.7823,4102.8871,3524.9656,8610897.9222,4667792.5739,322.8137,0.463524,162.994004,126.511928,334.48696,140.198943,137.144802,0.025989,-0.99958,,,0,0
35,35.0,6.92,9.0,1388.3371,2275.2144,1192.6351,2330.0409,1981.5488,1602.8791,2159.766,897.531,3873.365,3988.1957,8584541.3141,3332199.5531,208.4168,0.442916,109.495281,126.363257,170.284971,160.646623,136.514414,0.023868,-1.256402,,,0,0
36,36.0,7.48,8.2,1415.8555,2538.6642,1315.7626,2774.3977,1350.3035,935.4373,1658.6544,769.1251,2627.4655,1983.8199,4625754.9634,1622705.7931,304.0708,0.427793,169.71588,188.411745,194.074707,149.759246,121.956483,0.020625,-1.127157,,,0,0
37,37.0,7.52,8.0,1512.8348,2562.2987,1211.2603,2781.3143,1313.3019,901.0174,1866.8364,653.9329,2321.3096,1848.3972,4673579.4397,1416520.6522,418.7051,0.418824,167.284495,181.671895,210.522192,161.005504,123.65943,0.020762,-1.106217,,,0,0
38,38.0,7.24,7.28,1424.1291,2578.4967,1073.4833,2729.9057,1198.9931,875.6606,1838.0751,692.8249,2020.3824,1767.4753,3871856.3524,1364963.0811,397.1417,0.383956,161.22362,182.918552,159.570202,144.430751,82.600955,0.022041,-1.240624,,,0,0
39,39.0,6.4,7.6,1028.6864,2346.5937,778.4718,2308.2106,1115.6582,1008.6226,1843.1408,788.1244,1721.5652,2139.4977,2931142.4116,1495547.8522,334.7482,0.343533,168.791248,186.672777,135.681561,147.668322,73.677217,0.025584,-1.250706,,,0,0
40,40.0,5.48,8.2,847.718,2774.8999,588.9344,2520.1871,1123.3417,932.7554,1933.221,959.0897,1504.0727,1836.182,2552153.7877,1597057.4403,369.1008,0.291294,168.752117,178.426356,127.217414,129.913565,75.520327,0.028105,-1.270672,,,0,0
41,41.0,5.32,9.04,770.5447,2901.1754,500.8398,2660.2211,1088.2076,878.9987,1768.3345,951.9528,1522.8838,1777.2686,2289059.8067,1639093.8699,362.9524,0.275642,166.457444,160.262905,136.049966,124.211197,73.28454,0.025168,-1.305648,,,0,0
42,42.0,4.52,7.6,706.1112,2876.6055,713.1814,2948.9919,1002.0913,809.5127,1482.3513,881.3227,1451.9927,1580.256,1647012.3382,1524324.295,291.1975,0.244509,138.404754,134.473649,140.523418,122.540444,76.037141,0.024088,-1.366086,,,0,0
43,43.0,1.0,0.8,3915.1229,5041.0571,3081.6125,5739.8395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.9974,0.174483,216.897807,187.98315,286.976061,198.040041,139.139855,0.03018,-0.853608,,,0,0
44,44.0,0.48,0.52,3437.2335,5465.6408,3338.6816,5517.2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,205.782059,187.31251,276.843651,186.909587,145.41089,0.046352,-0.8053,,,0,0
