split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,2,1970.5652,1655.8658,1738.2359,1542.1725,272.502,0.529771,471.018918,475.561853,1546.53875,1572.567334,1095.571592,0.066069,1.080583,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,3,1549.1014,1332.3456,1112.2754,1304.6656,470.3963,0.363821,454.500557,424.881271,1239.679342,1127.547161,796.345833,0.099363,0.475422,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,4,1292.922,1591.7006,778.5991,1873.6778,625.2198,0.478916,404.920268,383.499682,1013.178574,987.913418,635.965237,0.103296,-0.005626,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,5,1258.4605,1471.9083,712.8331,1454.2264,757.2648,0.388696,330.828504,330.758196,823.696066,874.22102,535.18119,0.100681,-0.511161,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,6,1079.1439,1390.1549,1057.0451,1097.5217,1040.7058,0.389932,305.576527,289.257399,743.782054,787.968307,493.224489,0.084106,-0.895629,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,7,1480.9124,2779.8262,2518.9007,3384.1489,1584.637,0.54641,319.318241,446.459383,846.36399,1002.062441,500.468301,0.094445,-0.272869,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,8,1357.2057,1443.5414,2279.9123,1991.4775,1381.9532,0.437642,294.866796,557.687558,770.442043,1050.888564,463.245233,0.096236,-0.11578,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,9,1066.099,1780.6238,1930.3669,2334.5599,2420.3603,0.493609,294.449012,533.175869,723.675747,972.243442,527.152111,0.091761,-0.228576,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,0,,,,,,,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,1,,,,,,,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,2,1688.0262,1543.3021,2089.8673,2373.4705,907.3997,0.591075,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,3,1797.3813,1515.7857,1462.2226,2123.1894,559.6446,0.527161,109.355097,27.516426,627.644725,250.281148,347.755102,0.063914,-0.950047,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,4,1102.7163,935.1618,701.1773,1339.2373,568.0733,0.314708,402.010045,304.070161,694.345019,517.11659,178.091888,0.138183,0.569022,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,5,650.1627,422.4117,168.117,482.2713,593.489,0.208477,418.857894,373.63015,640.583437,630.399732,127.199835,0.127533,0.551161,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,6,275.7656,197.9565,335.343,167.7307,943.8027,0.018895,407.742702,336.336394,522.244082,551.434955,182.978312,0.143045,0.330987,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,7,520.3065,237.1238,805.7472,290.4014,1074.1987,0.131119,375.102349,276.902566,511.876093,465.682097,172.461837,0.136881,-0.034614,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,8,0.0,273.1657,0.0,403.0825,882.091,0.0,399.303042,236.759125,560.854609,406.848606,175.736141,0.135921,-0.031165,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,palace_arsenal_h1_12m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_003_180f25daa8_bytetrack,9,0.0,,0.0,,,0.0,342.259751,236.759125,480.732522,406.848606,175.736141,0.116503,-0.435342,0,0,,
